date,total_vaccinations,people_vaccinated,people_fully_vaccinated
2021-03-14,0.10254518578150068,0.1026767769592689,0.09812743032738075
2021-03-15,0.10448151476888289,0.104545733214285,0.10042260655567098
2021-03-16,0.10606767190382,0.10613651075008901,0.10227441941819693
2021-03-17,0.10827045390351774,0.10839405706263858,0.10475476828813646
2021-03-18,0.11084928823229577,0.11108038327169295,0.1073540904755526
2021-03-19,0.11332413036163778,0.11363220630924577,0.10985097935312246
2021-03-20,0.11631990472440373,0.1167767158100824,0.1127382480370123
2021-03-21,0.11923161638726544,0.11979083455383903,0.11563133480087474
2021-03-22,0.12117439921075304,0.12178693283210944,0.11764767018149123
2021-03-23,0.12280968998040356,0.12349086871078763,0.11927970841301261
2021-03-24,0.12497133619808605,0.1257592014670311,0.12145802532226742
2021-03-25,0.12768336686148174,0.1285127623413476,0.12421988962774741
