ObservationDate,Confirmed,Deaths,Recovered
2020-04-04,0.0009091151268130525,0.0013466963674433558,0.00035567325049028784
2020-04-05,0.0009921599755975338,0.001539866167993667,0.00042354537773372526
2020-04-06,0.0010793360431810871,0.0017411958626370864,0.000475323363216648
2020-04-07,0.0011661592664543995,0.002046564206967635,0.0005282908101569843
2020-04-08,0.0012632061536169462,0.0023566401825057463,0.000571888213779736
2020-04-09,0.0013582741722728909,0.00263140892398714,0.0006168207272016253
2020-04-10,0.001461334114555795,0.0029607861874762567,0.0006988692930395432
2020-04-11,0.0015488747879265977,0.00325517005898916,0.000759070607618844
2020-04-12,0.0016337073812163001,0.0035095390652377825,0.000800774582799182
2020-04-13,0.0017080193333223156,0.0037563758615543055,0.0010555135324746584
2020-04-14,0.001787685697836239,0.0041150973595705615,0.0011594336242948143
2020-04-15,0.0018725359333414534,0.004507243039160511,0.0012646160017432456
2020-04-16,0.001964551848713813,0.005222959903750251,0.0013279002062223735
2020-04-17,0.0020587848025021872,0.0058311858557673155,0.0014211636943730482
2020-04-18,0.0021542909361766814,0.006128080463924252,0.0015739730795652652
2020-04-19,0.0022331869239465784,0.006447571701877488,0.0017074112353081747
2020-04-20,0.0023076870596847225,0.006681697893933592,0.0017557664847605808
2020-04-21,0.002389261723843199,0.007045597786278167,0.0018255563151700525
2020-04-22,0.0024730299034636744,0.007390353311711988,0.001878038267637975
2020-04-23,0.0025576978360752644,0.0079116450074294,0.0019469056585498606
2020-04-24,0.002664139202997979,0.00822909627185936,0.002405115341613925
2020-04-25,0.002761056713913437,0.00851359411783638,0.002436502559255472
2020-04-26,0.002841346436708786,0.00870048707677661,0.002597104130729929
2020-04-27,0.002907739974419142,0.00892378571705532,0.002704786804711291
2020-04-28,0.002979820186262883,0.009249867638699144,0.002814314357687825
2020-04-29,0.003060703863647138,0.009643425607651362,0.0029304446354891855
2020-04-30,0.00314738006845785,0.009941575584130315,0.0037370208772337116
2020-05-01,0.003248005385000091,0.010250082349265905,0.003981418794646776
2020-05-02,0.0033329438315828656,0.01049786067182394,0.004257349578043111
2020-05-03,0.0034072146185193533,0.010713940944251056,0.004373140009713782
2020-05-04,0.0034731818026881678,0.010914642954733466,0.004543742767319962
2020-05-05,0.0035442034816011857,0.011239783350135778,0.004607124070693572
2020-05-06,0.003615866161011141,0.01158610808597212,0.0046100127628044335
2020-05-07,0.0036993050192753916,0.01193604200573426,0.004734444996084069
2020-05-08,0.003778727333141398,0.012175974276279691,0.0048305000774511225
2020-05-09,0.003854824089383383,0.012427361782763524,0.005159204109998828
2020-05-10,0.003912493551523029,0.012553526299126197,0.005247442730360021
2020-05-11,0.0039663699373275844,0.012740262337026171,0.00564952925241306
2020-05-12,0.004031810795400289,0.013002006632166642,0.0055901532784368635
2020-05-13,0.004092744067409665,0.01326877240059518,0.0059091959709835365
2020-05-14,0.004172172262014176,0.013550445667847664,0.0059816317462676625
2020-05-15,0.004246025516516878,0.013805442358257295,0.006086814123716094
2020-05-16,0.004319708229602964,0.01399515989592206,0.006514753226425163
2020-05-17,0.004375784011608022,0.014130582753659606,0.0066091576265860106
2020-05-18,0.004439572382161097,0.014262239506431101,0.006874067685458554
2020-05-19,0.004499573557117587,0.014494168803923678,0.007024910818037495
2020-05-20,0.0045674372794539475,0.014729550364301798,0.007144342458251269
2020-05-21,0.004642331424671861,0.01492130787548984,0.0072440144734378055
2020-05-22,0.004712647414964396,0.01511730225476469,0.00849943035492881
2020-05-23,0.004775430179233285,0.015287718504478449,0.008768976886012905
2020-05-24,0.004835581313021627,0.015388932575441041,0.008902415041755814
2020-05-25,0.0048915335995181,0.015472728410935652,0.009203931383848353
2020-05-26,0.004947133041704332,0.015581788533910847,0.009343389671049192
2020-05-27,0.005001450482896689,0.015810893252678884,0.009503748495287442
2020-05-28,0.005067996919808149,0.01598601713360021,0.00970967097576172
2020-05-29,0.005139809558049957,0.016169771671735392,0.009866364316733246
2020-05-30,0.005211031182072111,0.016322298922860416,0.010109475673794416
2020-05-31,0.005268547745010653,0.016421629941339982,0.01079637752808896
2020-06-01,0.005329754471360466,0.016541674537132824,0.01112343087943046
2020-06-02,0.0053922402583349025,0.016690906446412555,0.011260267496480266
2020-06-03,0.005450788890880899,0.016847984407704887,0.01163385549300262
2020-06-04,0.005513601058842309,0.01700961307916453,0.011773289505479838
